link,name,quote,rank,score
https://movie.douban.com/subject/1292401/,真爱至上,爱，是个动词。,190,8.6
https://movie.douban.com/subject/3011051/,恐怖游轮,不要企图在重复中寻找已经失去的爱。,191,8.5
https://movie.douban.com/subject/1292226/,2001太空漫游,现代科幻电影的开山之作，最伟大导演的最伟大影片。,192,8.9
https://movie.douban.com/subject/1307106/,无间道2,,193,8.7
https://movie.douban.com/subject/1307856/,背靠背，脸对脸,,194,9.5
https://movie.douban.com/subject/4848115/,你看起来好像很好吃,感情不分食草或者食肉。,195,8.9
https://movie.douban.com/subject/27119724/,小丑,,196,8.7
https://movie.douban.com/subject/1978709/,黑天鹅,黑暗之美。,197,8.6
https://movie.douban.com/subject/1292329/,牯岭街少年杀人事件,弱者送给弱者的一刀。,198,8.9
https://movie.douban.com/subject/1867345/,遗愿清单,用剩余不多的时间，去燃烧整个生命。,199,8.7
https://movie.douban.com/subject/1307811/,魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,200,8.7
https://movie.douban.com/subject/1297052/,侧耳倾听,少女情怀总是诗。,126,8.9
https://movie.douban.com/subject/10577869/,时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,127,8.8
https://movie.douban.com/subject/1292274/,幸福终点站,有时候幸福需要等一等。 ,128,8.8
https://movie.douban.com/subject/2353023/,驯龙高手,和谐的生活离不开摸头与被摸头。,129,8.8
https://movie.douban.com/subject/27010768/,寄生虫,,130,8.8
https://movie.douban.com/subject/5989818/,萤火之森,触不到的恋人。,131,8.9
https://movie.douban.com/subject/1294240/,教父3,任何信念的力量，都无法改变命运。,132,9.0
https://movie.douban.com/subject/26628357/,一个叫欧维的男人决定去死,惠及一生的美丽。,133,8.9
https://movie.douban.com/subject/1291579/,怪兽电力公司,不要给它起名字，起了名字就有感情了。,134,8.8
https://movie.douban.com/subject/1395091/,未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,135,9.1
https://movie.douban.com/subject/1858711/,玩具总动员3,跨度十五年的欢乐与泪水。,136,8.9
